epoch,loss,val_loss
0,0.001734793884679675,1.0186806775891455e-06
1,0.0007911893189884722,1.3976489753986243e-05
2,8.257091394625604e-05,8.441734848929627e-07
3,1.6472583865834167e-06,7.031231064047461e-08
4,8.391584742639679e-07,1.7887688841256022e-07
5,6.310776825557696e-07,8.011211249936423e-09
6,5.443640134217276e-07,2.800473275499371e-08
7,3.4098448509212176e-07,4.222511673646068e-09
8,2.739963917974819e-07,2.794615028278713e-08
9,2.6882300971919904e-06,7.282096134986205e-07
10,6.961907956792857e-07,1.2235075175226484e-08
11,1.3193006452638656e-05,1.1194058515684446e-06
12,5.4152482334757224e-05,2.503191353753209e-06
13,5.285404540700256e-07,3.3332376858652424e-08
14,5.6004772375217726e-08,3.3299409896159204e-09
15,8.226766681218578e-07,2.1172731976548675e-06
16,0.00021929718786850572,3.281290992163122e-05
17,0.0004190596519038081,5.02912962474511e-06
18,7.050211570458487e-05,5.759105192737479e-07
19,1.8763565094559453e-05,6.187174506067095e-08
20,2.5866333999147173e-06,3.372990420302813e-08
21,3.0085349322916954e-08,1.035290519979526e-08
22,1.985072373145158e-08,1.0185631893477876e-08
23,1.953579342739431e-08,1.1867452798242084e-08
24,1.8165664528169145e-08,1.0404758832294192e-08
25,1.6828581195227343e-08,1.3975670398735929e-08
26,1.7760601878080706e-08,1.0156004925931938e-08
27,1.697614671059e-08,1.5485998261510758e-08
28,1.570629137859214e-08,1.0998528310324218e-08
29,1.5606104852849967e-08,1.1097410101967853e-08
